Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
340.000000	0.0753537 	340.000000	0.0762877 	340.000000	0.0754825 	340.000000	0.0747203 	340.000000	0.0762679 	340.000000	1.98823e-05	
350.000000	0.074243  	350.000000	0.0751716 	350.000000	0.0743798 	350.000000	0.0736201 	350.000000	0.0751523 	350.000000	1.93595e-05	
360.000000	0.0731918 	360.000000	0.0741173 	360.000000	0.0733394 	360.000000	0.0725815 	360.000000	0.0740984 	360.000000	1.88645e-05	
370.000000	0.0721958 	370.000000	0.0731199 	370.000000	0.0723555 	370.000000	0.0715997 	370.000000	0.0731015 	370.000000	1.83951e-05	
380.000000	0.0712506 	380.000000	0.0721751 	380.000000	0.0714201 	380.000000	0.0706703 	380.000000	0.0721571 	380.000000	1.79494e-05	
390.000000	0.0703527 	390.000000	0.0712789 	390.000000	0.0705321 	390.000000	0.0697895 	390.000000	0.0712614 	390.000000	1.75255e-05	
400.000000	0.0694987 	400.000000	0.0704278 	400.000000	0.0696927 	400.000000	0.0689536 	400.000000	0.0704107 	400.000000	1.7122e-05	
410.000000	0.0686855 	410.000000	0.0696187 	410.000000	0.0688976 	410.000000	0.0681595 	410.000000	0.069602  	410.000000	1.67373e-05	
420.000000	0.0679104 	420.000000	0.0688486 	420.000000	0.0681416 	420.000000	0.0674043 	420.000000	0.0688322 	420.000000	1.63702e-05	
430.000000	0.0671708 	430.000000	0.0681148 	430.000000	0.06742   	430.000000	0.0666853 	430.000000	0.0680988 	430.000000	1.60194e-05	
440.000000	0.0664645 	440.000000	0.0674151 	440.000000	0.0667295 	440.000000	0.0660001 	440.000000	0.0673994 	440.000000	1.56839e-05	
450.000000	0.0657894 	450.000000	0.0667471 	450.000000	0.0660703 	450.000000	0.0653465 	450.000000	0.0667317 	450.000000	1.53626e-05	
460.000000	0.0651435 	460.000000	0.0661089 	460.000000	0.0654429 	460.000000	0.0647225 	460.000000	0.0660938 	460.000000	1.50548e-05	
470.000000	0.0645251 	470.000000	0.0654985 	470.000000	0.0648453 	470.000000	0.0641263 	470.000000	0.0654838 	470.000000	1.47595e-05	
480.000000	0.0639325 	480.000000	0.0649145 	480.000000	0.0642742 	480.000000	0.0635561 	480.000000	0.0649    	480.000000	1.4476e-05	
490.000000	0.0633643 	490.000000	0.0643551 	490.000000	0.0637267 	490.000000	0.0630104 	490.000000	0.0643408 	490.000000	1.42035e-05	
500.000000	0.0628191 	500.000000	0.0638189 	500.000000	0.0632013 	500.000000	0.0624877 	500.000000	0.0638049 	500.000000	1.39415e-05	
520.000000	0.0617926 	520.000000	0.062811  	520.000000	0.0622121 	520.000000	0.0615063 	520.000000	0.0627975 	520.000000	1.34466e-05	
540.000000	0.0608438 	540.000000	0.0618814 	540.000000	0.0613042 	540.000000	0.0606023 	540.000000	0.0618684 	540.000000	1.29867e-05	
560.000000	0.0599649 	560.000000	0.0610218 	560.000000	0.0604663 	560.000000	0.0597676 	560.000000	0.0610093 	560.000000	1.25584e-05	
580.000000	0.0591491 	580.000000	0.0602253 	580.000000	0.0596861 	580.000000	0.058995  	580.000000	0.0602132 	580.000000	1.21584e-05	
600.000000	0.0583904 	600.000000	0.0594858 	600.000000	0.0589658 	600.000000	0.0582785 	600.000000	0.059474  	600.000000	1.17841e-05	
620.000000	0.0576835 	620.000000	0.0587978 	620.000000	0.0582979 	620.000000	0.0576125 	620.000000	0.0587863 	620.000000	1.14328e-05	
640.000000	0.0570239 	640.000000	0.0581566 	640.000000	0.0576721 	640.000000	0.0569925 	640.000000	0.0581455 	640.000000	1.11027e-05	
660.000000	0.0564076 	660.000000	0.0575581 	660.000000	0.0570887 	660.000000	0.0564143 	660.000000	0.0575473 	660.000000	1.07917e-05	
680.000000	0.0558309 	680.000000	0.0569987 	680.000000	0.056547  	680.000000	0.0558741 	680.000000	0.0569882 	680.000000	1.04983e-05	
700.000000	0.0552905 	700.000000	0.056475  	700.000000	0.0560393 	700.000000	0.0553687 	700.000000	0.0564648 	700.000000	1.0221e-05	
720.000000	0.0547838 	720.000000	0.0559842 	720.000000	0.0555608 	720.000000	0.0548952 	720.000000	0.0559743 	720.000000	9.95846e-06	
740.000000	0.054308  	740.000000	0.0555237 	740.000000	0.0551123 	740.000000	0.054451  	740.000000	0.055514  	740.000000	9.70955e-06	
760.000000	0.053861  	760.000000	0.0550911 	760.000000	0.0546936 	760.000000	0.0540338 	760.000000	0.0550817 	760.000000	9.47321e-06	
780.000000	0.0534405 	780.000000	0.0546844 	780.000000	0.0543001 	780.000000	0.0536414 	780.000000	0.0546752 	780.000000	9.24851e-06	
800.000000	0.0530448 	800.000000	0.0543016 	800.000000	0.0539275 	800.000000	0.053272  	800.000000	0.0542926 	800.000000	9.0346e-06	
820.000000	0.0526721 	820.000000	0.0539411 	820.000000	0.0535769 	820.000000	0.0529256 	820.000000	0.0539323 	820.000000	8.8307e-06	
840.000000	0.0523209 	840.000000	0.0536013 	840.000000	0.0532552 	840.000000	0.052607  	840.000000	0.0535927 	840.000000	8.63613e-06	
860.000000	0.0519898 	860.000000	0.0532808 	860.000000	0.0529533 	860.000000	0.0523062 	860.000000	0.0532723 	860.000000	8.45025e-06	
880.000000	0.0516775 	880.000000	0.0529782 	880.000000	0.0526683 	880.000000	0.052022  	880.000000	0.05297   	880.000000	8.27247e-06	
900.000000	0.0513828 	900.000000	0.0526925 	900.000000	0.0523979 	900.000000	0.0517534 	900.000000	0.0526844 	900.000000	8.10229e-06	
920.000000	0.0511046 	920.000000	0.0524226 	920.000000	0.0521406 	920.000000	0.0514992 	920.000000	0.0524147 	920.000000	7.93921e-06	
940.000000	0.050842  	940.000000	0.0521674 	940.000000	0.0518968 	940.000000	0.0512585 	940.000000	0.0521596 	940.000000	7.7828e-06	
960.000000	0.050594  	960.000000	0.0519261 	960.000000	0.0516664 	960.000000	0.0510305 	960.000000	0.0519185 	960.000000	7.63264e-06	
980.000000	0.0503598 	980.000000	0.0516979 	980.000000	0.0514492 	980.000000	0.0508143 	980.000000	0.0516904 	980.000000	7.48838e-06	
1000.000000	0.0501386 	1000.000000	0.0514819 	1000.000000	0.0512436 	1000.000000	0.0506093 	1000.000000	0.0514746 	1000.000000	7.34965e-06	
