! 12C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
55.000000	4847.69   	55.000000	4768.54   	55.000000	4853.95   	55.000000	4848.66   	55.000000	4853.5    	55.000000	35.1456   	55.000000	17.9448   	55.000000	52.809    	55.000000	48.7381   	55.000000	51.9281   	
60.000000	5654.53   	60.000000	5567.83   	60.000000	5666.83   	60.000000	5662.45   	60.000000	5666.43   	60.000000	41.0372   	60.000000	20.7678   	60.000000	61.4948   	60.000000	56.4059   	60.000000	60.5667   	
65.000000	6514.18   	65.000000	6420.54   	65.000000	6533.35   	65.000000	6530.15   	65.000000	6532.93   	65.000000	47.3005   	65.000000	23.7484   	65.000000	70.7352   	65.000000	64.5267   	65.000000	69.7768   	
70.000000	7425.33   	70.000000	7325.35   	70.000000	7452.1    	70.000000	7450.45   	70.000000	7451.67   	70.000000	53.9234   	70.000000	26.8842   	70.000000	80.5142   	70.000000	73.0867   	70.000000	79.5447   	
75.000000	8386.78   	75.000000	8281      	75.000000	8421.86   	75.000000	8422.13   	75.000000	8421.45   	75.000000	60.8942   	75.000000	30.1701   	75.000000	90.8165   	75.000000	82.0733   	75.000000	89.8574   	
80.000000	9397.38   	80.000000	9286.3    	80.000000	9441.49   	80.000000	9444      	80.000000	9441.08   	80.000000	68.2016   	80.000000	33.5987   	80.000000	101.628   	80.000000	91.4748   	80.000000	100.703   	
85.000000	10456     	85.000000	10340.1   	85.000000	10509.9   	85.000000	10514.9   	85.000000	10509.5   	85.000000	75.8347   	85.000000	37.1686   	85.000000	112.934   	85.000000	101.28    	85.000000	112.069   	
90.000000	11561.8   	90.000000	11441.3   	90.000000	11625.9   	90.000000	11633.9   	90.000000	11625.5   	90.000000	83.7831   	90.000000	40.8759   	90.000000	124.722   	90.000000	111.479   	90.000000	123.945   	
95.000000	12713.6   	95.000000	12588.9   	95.000000	12788.6   	95.000000	12799.9   	95.000000	12788.3   	95.000000	92.0368   	95.000000	44.7145   	95.000000	136.98    	95.000000	122.061   	95.000000	136.319   	
100.000000	13910.7   	100.000000	13781.8   	100.000000	13997.1   	100.000000	14011.9   	100.000000	13996.8   	100.000000	100.586   	100.000000	48.6816   	100.000000	149.695   	100.000000	133.016   	100.000000	149.182   	
